Sizes;"ID
(code of your product in your own referencing)";Colour;Price;Image;Title;"EAN
Product 
Code ";Country supplier;BRAND;Weight;Material;Shipping price;Stock;Description;Gender;SKU;;;;
S;breezy-black-small;Black;19,99 €;6.jpeg;BREEZY sportmasker - Zwart mondmasker / wasbaar mondkapje - maat Small - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980069214;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-black-small;;;;
M;breezy-black-medium;Black;19,99 €;6.jpeg;BREEZY sportmasker - Zwart mondmasker / wasbaar mondkapje - maat Medium - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980069221;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-black-medium;;;;
L;breezy-black-large;Black;19,99 €;6.jpeg;BREEZY sportmasker - Zwart mondmasker / wasbaar mondkapje - maat Large - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980069238;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-black-large;;;;
S;breezy-azure-small;Azure;19,99 €;5.jpg;BREEZY sportmasker - Azuur mondmasker / wasbaar mondkapje - maat Small - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980069276;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-azure-small;;;;
M;breezy-azure-medium;Azure;19,99 €;5.jpg;BREEZY sportmasker - Azuur mondmasker / wasbaar mondkapje - maat Medium - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980069283;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-azure-medium;;;;
L;breezy-azure-large;Azure;19,99 €;5.jpg;BREEZY sportmasker - Azuur mondmasker / wasbaar mondkapje - maat Large - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980069290;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-azure-large;;;;
S;breezy-grey-small;Grey;19,99 €;1.jpg;BREEZY sportmasker - Grijs mondmasker / wasbaar mondkapje - maat Small - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980069245;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-grey-small;;;;
M;breezy-grey-medium;Grey;19,99 €;1.jpg;BREEZY sportmasker - Grijs mondmasker / wasbaar mondkapje - maat Medium - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980069252;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-grey-medium;;;;
L;breezy-grey-large;Grey;19,99 €;1.jpg;BREEZY sportmasker - Grijs mondmasker / wasbaar mondkapje - maat Large - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980069269;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-grey-large;;;;
S;breezy-orange-small;Orange;19,99 €;3.jpg;BREEZY sportmasker - Oranje mondmasker / wasbaar mondkapje - maat Small - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980076908;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-orange-small;;;;
